gene	young_leaf	flower	one_cm_pod	pod_shell_10DAF	pod_shell_14DAF	seed_10DAF	seed_14DAF	seed_21DAF	seed_25DAF	seed_28DAF	seed_35DAF	seed_42DAF	root	nodule
Glyma01g01090	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma01g01100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma01g01110	9	10	9	9	15	5	11	7	12	4	7	6	16	38
Glyma01g01120	21	5	7	8	1	4	4	6	2	1	1	0	5	2
Glyma01g01130	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Glyma01g01140	7	7	7	5	7	4	5	5	7	4	13	3	6	12
Glyma01g01150	0	2	0	0	1	0	0	0	0	0	1	0	1	0
Glyma01g01160	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Glyma01g01170	2	7	4	6	4	1	2	2	3	2	5	2	7	5
Glyma01g01180	14	82	60	88	71	7	17	18	7	3	4	2	106	25
Glyma01g01190	46	40	51	51	48	9	27	28	34	16	34	23	55	53
Glyma01g01200	84	77	93	93	87	16	48	53	63	28	63	42	103	100
Glyma01g01210	0	3	1	1	0	1	1	0	1	0	0	0	1	38
Glyma01g01220	13	17	16	15	9	8	11	11	8	4	10	4	22	20
Glyma01g01230	3	3	3	3	2	1	2	1	1	1	1	1	4	2
Glyma01g01240	0	4	1	3	3	1	1	3	1	0	1	0	5	0
Glyma01g01260	36	30	30	59	70	5	4	1	1	1	1	0	29	3
Glyma01g01270	14	10	12	13	9	6	14	24	16	7	16	4	12	8
Glyma01g01280	1	4	2	2	4	1	1	0	1	0	2	1	3	5
Glyma01g01290	2	3	2	3	2	0	1	1	1	0	1	1	1	0
Glyma01g01300	1	2	2	1	1	5	2	1	1	0	1	0	5	29
Glyma01g01310	59	41	83	59	47	29	40	55	32	15	15	4	40	115
Glyma01g01320	74	45	107	87	67	20	60	70	36	19	14	4	52	27
Glyma01g01330	15	6	6	6	7	17	8	5	4	2	2	2	7	12
