Glyma2.0	root	stem	flower	root_hairs	leaves	nodules	pod	seed	shoot_apical_meristem
Glyma.05g081000	0	0	0	0	0	0	0	0	0
Glyma.05g081100	0.02	0	0.18	0	0.22	0.02	0	0.01	0.14
Glyma.05g081200	0.18	0.14	0.57	0.37	0.1	0.24	8.7	1.04	0.08
Glyma.05g081300	24.05	13.01	5.49	35.18	20.33	20.13	10.19	22.22	15.12
Glyma.05g081400	0	0	0.03	0	0	0	0	0	0
Glyma.05g081500	0	0	0	0	0	0	0	0	0
Glyma.05g081600	0	0.05	0	0	0.47	0	0.01	0	1.89
Glyma.05g081700	0.51	0.04	0	0.11	0	0.18	0.14	0.15	0
Glyma.05g081800	0.03	0	0	0	0	0	0.02	0	0
Glyma.05g081900	12.39	18.25	2.44	12.58	16.8	13.04	1.8	9.86	13.11
Glyma.05g082000	0.27	0.35	0.12	0.26	0.12	0.29	0.38	0.08	0.28
Glyma.05g082100	0.05	0.34	0.12	0.15	0.06	0.13	0.1	0.02	0.13
Glyma.05g082200	16.68	18.33	31.07	12.31	116.85	15.47	8.1	3.51	16.02
Glyma.05g082300	0	0	0	0	0	0	0	0	0
Glyma.05g082400	18.72	0.28	93.96	2.07	0.55	1.34	0.05	2.07	0.02
Glyma.05g082500	6.23	3.97	6.65	3.3	6.69	3.49	3.51	3.21	5.16
Glyma.05g082600	0	2	0	0.21	0	0.39	0.14	0	0
Glyma.05g082700	0.02	2.07	0.05	0.1	0.05	0.27	0.19	0.12	0.06
Glyma.05g082800	0	0	0	0.05	0	0.05	0	0	0
Glyma.05g082900	0	0	0.03	0	0	0	0	0	0.06
Glyma.05g083000	11.98	2.63	12.57	0	0	0	0	0.05	98.07
Glyma.05g083100	0	0	0	0	0	0	0.04	0.16	0
Glyma.05g083200	0	0	0	0	0	0	0	0	0
Glyma.05g083300	0.26	0.43	0.25	0.57	0.23	0.35	0.49	0.71	1.16
Glyma.05g083400	0	0	0	0	0	0	0	0	0
Glyma.05g083500	0	0	0	0	0	0	0	0	0
Glyma.05g083600	0.13	3.69	0.2	0.65	0.02	0.11	0.59	0.04	0.31
Glyma.05g083700	0	0.28	0.09	0.37	0	0.92	0.04	3.42	0
Glyma.05g083800	1.76	5.27	2.95	2.18	2.47	3.25	4.3	2.68	1.88
Glyma.05g083900	2.92	0	0	9.67	0	2.99	0	0	0
Glyma.05g084000	3.31	0	0	4.64	0	7.14	0	0	0
Glyma.05g084100	0.14	4.05	0.31	0.36	0.3	1.44	0.11	0	0.29
Glyma.05g084200	4.55	1.35	3.12	2.15	1.53	1.56	1.06	1.42	4.89
Glyma.05g084300	3.96	4.13	5.91	4.11	4.81	3.08	4.26	3.28	3.56
Glyma.05g084400	0	0	0	0	0	0	0	0	0
Glyma.05g084500	0	0	0	0	0	0	0	0	0
Glyma.05g084600	0	0	0.03	0.05	0.05	0	0.09	0	0
Glyma.05g084700	0	0	0	0	0	0	0	0	0
Glyma.05g084800	0.36	0.83	0.02	0.13	0.1	0.41	0.29	0	0
Glyma.05g084900	0.15	0.29	0.1	0.04	0	0.12	0.11	0	0
Glyma.05g085000	2.72	10.2	0.92	3.88	2.18	1.78	15.65	5.9	2.78
Glyma.05g085100	0	0	0	0	0	0	0	0	0
Glyma.05g085200	0.94	14.31	11.21	2.29	5.6	3.19	5.64	0.48	2.2
Glyma.05g085300	0	0	0	0	0	0	0	0	0
Glyma.05g085400	1.58	2.7	2.27	1.88	8.2	5.44	3.33	3.36	5.98
Glyma.05g085500	0.6	4.9	1.51	2.97	2.43	5.11	5.46	3.23	3.3
Glyma.05g085600	0.17	1.03	0.83	0.53	0.47	1.1	0.4	0.49	0.61
